Year,Country,SVOD_Penetration_Percent
2010,USA,15
2011,USA,16
2012,USA,20
2013,USA,28
2014,USA,28
2015,USA,35
2016,USA,38
2017,USA,41
2018,USA,45
2019,USA,49
2020,USA,53
2010,Canada,7
2011,Canada,14
2012,Canada,20
2013,Canada,29
2014,Canada,35
2015,Canada,39
2016,Canada,46
2017,Canada,54
2018,Canada,63
2019,Canada,68
2020,Canada,76
2010,Mexico,6
2011,Mexico,13
2012,Mexico,15
2013,Mexico,24
2014,Mexico,28
2015,Mexico,35
2016,Mexico,42
2017,Mexico,47
2018,Mexico,55
2019,Mexico,57
2020,Mexico,65
2010,Brazil,6
2011,Brazil,12
2012,Brazil,20
2013,Brazil,27
2014,Brazil,32
2015,Brazil,38
2016,Brazil,45
2017,Brazil,55
2018,Brazil,62
2019,Brazil,70
2020,Brazil,74
2010,UK,5
2011,UK,11
2012,UK,12
2013,UK,19
2014,UK,20
2015,UK,24
2016,UK,31
2017,UK,35
2018,UK,36
2019,UK,41
2020,UK,45
2010,France,11
2011,France,16
2012,France,25
2013,France,31
2014,France,38
2015,France,45
2016,France,54
2017,France,57
2018,France,68
2019,France,74
2020,France,82
2010,Germany,9
2011,Germany,15
2012,Germany,16
2013,Germany,21
2014,Germany,23
2015,Germany,25
2016,Germany,30
2017,Germany,33
2018,Germany,34
2019,Germany,37
2020,Germany,43
2010,Italy,10
2011,Italy,15
2012,Italy,22
2013,Italy,30
2014,Italy,37
2015,Italy,43
2016,Italy,52
2017,Italy,60
2018,Italy,64
2019,Italy,73
2020,Italy,80
2010,Spain,7
2011,Spain,12
2012,Spain,12
2013,Spain,16
2014,Spain,20
2015,Spain,22
2016,Spain,25
2017,Spain,26
2018,Spain,32
2019,Spain,36
2020,Spain,36
2010,Russia,10
2011,Russia,10
2012,Russia,18
2013,Russia,21
2014,Russia,23
2015,Russia,26
2016,Russia,32
2017,Russia,36
2018,Russia,39
2019,Russia,46
2020,Russia,46
2010,China,8
2011,China,17
2012,China,26
2013,China,30
2014,China,36
2015,China,44
2016,China,52
2017,China,58
2018,China,67
2019,China,71
2020,China,82
2010,India,12
2011,India,17
2012,India,25
2013,India,27
2014,India,34
2015,India,37
2016,India,42
2017,India,49
2018,India,52
2019,India,59
2020,India,62
2010,Japan,10
2011,Japan,14
2012,Japan,14
2013,Japan,19
2014,Japan,21
2015,Japan,23
2016,Japan,25
2017,Japan,28
2018,Japan,32
2019,Japan,38
2020,Japan,37
2010,South Korea,5
2011,South Korea,8
2012,South Korea,14
2013,South Korea,21
2014,South Korea,28
2015,South Korea,35
2016,South Korea,37
2017,South Korea,43
2018,South Korea,53
2019,South Korea,57
2020,South Korea,62
2010,Australia,14
2011,Australia,14
2012,Australia,20
2013,Australia,21
2014,Australia,23
2015,Australia,26
2016,Australia,32
2017,Australia,34
2018,Australia,37
2019,Australia,41
2020,Australia,40
2010,South Africa,11
2011,South Africa,15
2012,South Africa,19
2013,South Africa,20
2014,South Africa,27
2015,South Africa,27
2016,South Africa,33
2017,South Africa,39
2018,South Africa,43
2019,South Africa,43
2020,South Africa,47
2010,Nigeria,8
2011,Nigeria,13
2012,Nigeria,16
2013,Nigeria,19
2014,Nigeria,22
2015,Nigeria,27
2016,Nigeria,29
2017,Nigeria,30
2018,Nigeria,36
2019,Nigeria,38
2020,Nigeria,38
2010,Egypt,16
2011,Egypt,19
2012,Egypt,22
2013,Egypt,27
2014,Egypt,29
2015,Egypt,37
2016,Egypt,40
2017,Egypt,41
2018,Egypt,47
2019,Egypt,52
2020,Egypt,57
2010,Turkey,6
2011,Turkey,12
2012,Turkey,13
2013,Turkey,21
2014,Turkey,22
2015,Turkey,27
2016,Turkey,30
2017,Turkey,36
2018,Turkey,39
2019,Turkey,43
2020,Turkey,47
2010,Argentina,0
2011,Argentina,5
2012,Argentina,9
2013,Argentina,12
2014,Argentina,14
2015,Argentina,15
2016,Argentina,20
2017,Argentina,21
2018,Argentina,25
2019,Argentina,27
2020,Argentina,34
